nombre,fabricante,calorias,proteina,grasa,sodio,fibra dietaria,carbohidratos,azúcar,potasio,vitaminas y minerales
100%_Bran,Nabisco,70,4,1,130,10.0,5.0,6,280,25
100%_Natural_Bran,Quaker Oats,120,3,5,15,2.0,8.0,8,135,0
All-Bran,Kelloggs,70,4,1,260,9.0,7.0,5,320,25
All-Bran_with_Extra_Fiber,Kelloggs,50,4,0,140,14.0,8.0,0,330,25
Almond_Delight,Ralston Purina,110,2,2,200,1.0,14.0,8,-1,25
Apple_Cinnamon_Cheerios,General Mills,110,2,2,180,1.5,10.5,10,70,25
Apple_Jacks,Kelloggs,110,2,0,125,1.0,11.0,14,30,25
Basic_4,General Mills,130,3,2,210,2.0,18.0,8,100,25
Bran_Chex,Ralston Purina,90,2,1,200,4.0,15.0,6,125,25
Bran_Flakes,Post,90,3,0,210,5.0,13.0,5,190,25
Cap'n'Crunch,Quaker Oats,120,1,2,220,0.0,12.0,12,35,25
Cheerios,General Mills,110,6,2,290,2.0,17.0,1,105,25
Cinnamon_Toast_Crunch,General Mills,120,1,3,210,0.0,13.0,9,45,25
Clusters,General Mills,110,3,2,140,2.0,13.0,7,105,25
Cocoa_Puffs,General Mills,110,1,1,180,0.0,12.0,13,55,25
Corn_Chex,Ralston Purina,110,2,0,280,0.0,22.0,3,25,25
Corn_Flakes,Kelloggs,100,2,0,290,1.0,21.0,2,35,25
Corn_Pops,Kelloggs,110,1,0,90,1.0,13.0,12,20,25
Count_Chocula,General Mills,110,1,1,180,0.0,12.0,13,65,25
Cracklin'_Oat_Bran,Kelloggs,110,3,3,140,4.0,10.0,7,160,25
Cream_of_Wheat_(Quick),Nabisco,100,3,0,80,1.0,21.0,0,-1,0
Crispix,Kelloggs,110,2,0,220,1.0,21.0,3,30,25
Crispy_Wheat_&_Raisins,General Mills,100,2,1,140,2.0,11.0,10,120,25
Double_Chex,Ralston Purina,100,2,0,190,1.0,18.0,5,80,25
Froot_Loops,Kelloggs,110,2,1,125,1.0,11.0,13,30,25
Frosted_Flakes,Kelloggs,110,1,0,200,1.0,14.0,11,25,25
Frosted_Mini-Wheats,Kelloggs,100,3,0,0,3.0,14.0,7,100,25
Fruitful_Bran,Kelloggs,120,3,0,240,5.0,14.0,12,190,25
Fruity_Pebbles,Post,110,1,1,135,0.0,13.0,12,25,25
Golden_Crisp,Post,100,2,0,45,0.0,11.0,15,40,25
Golden_Grahams,General Mills,110,1,1,280,0.0,15.0,9,45,25
Grape_Nuts_Flakes,Post,100,3,1,140,3.0,15.0,5,85,25
Grape-Nuts,Post,110,3,0,170,3.0,17.0,3,90,25
Great_Grains_Pecan,Post,120,3,3,75,3.0,13.0,4,100,25
Honey_Graham_Ohs,Quaker Oats,120,1,2,220,1.0,12.0,11,45,25
Honey_Nut_Cheerios,General Mills,110,3,1,250,1.5,11.5,10,90,25
Honey-comb,Post,110,1,0,180,0.0,14.0,11,35,25
Just_Right_Crunchy__Nuggets,Kelloggs,110,2,1,170,1.0,17.0,6,60,100
Just_Right_Fruit_&_Nut,Kelloggs,140,3,1,170,2.0,20.0,9,95,100
Kix,General Mills,110,2,1,260,0.0,21.0,3,40,25
Life,Quaker Oats,100,4,2,150,2.0,12.0,6,95,25
Lucky_Charms,General Mills,110,2,1,180,0.0,12.0,12,55,25
Maypo,American Home Food Products,100,4,1,0,0.0,16.0,3,95,25
Mueslix_Crispy_Blend,Kelloggs,160,3,2,150,3.0,17.0,13,160,25
Multi-Grain_Cheerios,General Mills,100,2,1,220,2.0,15.0,6,90,25
Nut&Honey_Crunch,Kelloggs,120,2,1,190,0.0,15.0,9,40,25
Nutri-Grain_Almond-Raisin,Kelloggs,140,3,2,220,3.0,21.0,7,130,25
Nutri-grain_Wheat,Kelloggs,90,3,0,170,3.0,18.0,2,90,25
Oatmeal_Raisin_Crisp,General Mills,130,3,2,170,1.5,13.5,10,120,25
Post_Nat._Raisin_Bran,Post,120,3,1,200,6.0,11.0,14,260,25
Product_19,Kelloggs,100,3,0,320,1.0,20.0,3,45,100
Puffed_Rice,Quaker Oats,50,1,0,0,0.0,13.0,0,15,0
Puffed_Wheat,Quaker Oats,50,2,0,0,1.0,10.0,0,50,0
Quaker_Oat_Squares,Quaker Oats,100,4,1,135,2.0,14.0,6,110,25
Quaker_Oatmeal,Quaker Oats,100,5,2,0,2.7,-1.0,-1,110,0
Raisin_Bran,Kelloggs,120,3,1,210,5.0,14.0,12,240,25
Raisin_Nut_Bran,General Mills,100,3,2,140,2.5,10.5,8,140,25
Raisin_Squares,Kelloggs,90,2,0,0,2.0,15.0,6,110,25
Rice_Chex,Ralston Purina,110,1,0,240,0.0,23.0,2,30,25
Rice_Krispies,Kelloggs,110,2,0,290,0.0,22.0,3,35,25
